Song,Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Cluster
Ho Hey,The Lumineers,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,2
Ho Hey,The Lumineers,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,2
Ho Hey,The Lumineers,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,2
Ho Hey,The Lumineers,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,2
Waiting On the World to Change,John Mayer,0.577,0.756,2,-5.82,1,0.115,0.159,0.000232,0.249,0.663,176.75,3
Head Above Water,Avril Lavigne,0.578,0.694,5,-5.351,1,0.0706,0.0112,0.0,0.102,0.268,129.921,3
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,5
Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,5
Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,5
Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,5
Sugar,Maroon 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,5
Love Song,Sara Bareilles,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,1
Home,Phillip Phillips,0.592,0.792,0,-5.884,1,0.0335,0.0215,0.0,0.159,0.293,121.001,0
Come On Get Higher,Matt Nathanson,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,5
Put Your Records On,Corinne Bailey Rae,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,0
I Don't Want to Be,Gavin DeGraw,0.423,0.862,0,-5.13,0,0.0695,0.00791,0.0,0.133,0.462,154.746,3
Marry You,Bruno Mars,0.62,0.832,10,-4.848,1,0.036,0.332,0.0,0.104,0.481,144.926,3
Send My Love (To Your New Lover),Adele,0.69,0.524,6,-8.39,0,0.103,0.0415,3.16e-06,0.17,0.562,164.023,1
Stay With Me,Sam Smith,0.479,0.419,0,-6.517,1,0.0389,0.568,0.000217,0.11,0.186,85.014,0
I Miss You (feat. Julia Michaels),Clean Bandit,0.693,0.624,0,-7.482,0,0.0448,0.299,7.64e-06,0.0955,0.369,105.002,1
Chasing Cars,Snow Patrol,0.563,0.592,9,-4.571,1,0.0276,0.209,5.08e-05,0.132,0.136,104.016,0
"Hey, Soul Sister",Train,0.675,0.885,1,-4.432,0,0.0436,0.217,0.0,0.086,0.768,97.03,1
Unwritten,Natasha Bedingfield,0.706,0.801,5,-6.333,1,0.0399,0.00577,0.0,0.0822,0.63,100.013,5
Magic,Coldplay,0.738,0.482,6,-8.917,0,0.0402,0.0266,0.621,0.106,0.352,93.457,4
Say You Won't Let Go,James Arthur,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,2
Say You Won't Let Go,James Arthur,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,2
Say You Won't Let Go,James Arthur,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,2
Say You Won't Let Go,James Arthur,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,2
I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,6
One Call Away,Charlie Puth,0.667,0.613,1,-5.353,1,0.0344,0.403,0.0,0.115,0.47,91.024,0
Better Together,Jack Johnson,0.868,0.347,5,-9.529,1,0.0536,0.308,2e-05,0.11,0.659,110.059,5
Lucky,Jason Mraz,0.623,0.417,0,-8.699,1,0.0354,0.296,0.0,0.135,0.721,130.032,5
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,0.258,0.659,5,-5.903,0,0.0596,0.253,0.0,0.111,0.272,189.558,3
Issues,Julia Michaels,0.728,0.415,8,-6.852,1,0.0639,0.401,0.0,0.0616,0.455,114.145,0
Let It Go,James Bay,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,2
Let It Go,James Bay,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,2
Let It Go,James Bay,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,2
Let It Go,James Bay,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,2
Somebody Else,The 1975,0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,5
Stay,Rihanna,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,2
Photograph,Ed Sheeran,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,2
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.315,0.296,5,-13.262,1,0.0317,0.771,0.0,0.702,0.436,172.638,2
Budapest,George Ezra,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.81,0
Home,Edward Sharpe & The Magnetic Zeros,0.542,0.589,2,-6.623,1,0.0318,0.292,0.000522,0.177,0.137,111.665,0
Feel It Still,Portugal. The Man,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,1
Hello,Adele,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,3
Hello,Adele,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,3
Hello,Adele,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,3
Hello,Adele,0.481,0.451,5,-6.095,0,0.0347,0.336,0.0,0.0872,0.289,157.966,3
Bleeding Love,Leona Lewis,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,0
Breakeven,The Script,0.63,0.698,10,-4.51,1,0.0244,0.173,0.0,0.0789,0.529,94.023,5
Fight Song,Rachel Platten,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,3
Fight Song,Rachel Platten,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,3
Fight Song,Rachel Platten,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,3
Fight Song,Rachel Platten,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924,3
Counting Stars,OneRepublic,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,1
Counting Stars,OneRepublic,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,1
Counting Stars,OneRepublic,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,1
Counting Stars,OneRepublic,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,1
Sweater Weather,The Neighbourhood,0.695,0.615,7,-5.325,0,0.042,0.15,0.000212,0.0879,0.414,124.015,1
Halo,Beyoncé,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,1
River,Leon Bridges,0.658,0.179,8,-10.866,1,0.0448,0.689,0.0,0.17,0.191,128.128,2
You And Me,Lifehouse,0.461,0.446,7,-7.703,1,0.0267,0.1,0.0,0.169,0.375,139.868,3
Yellow,Coldplay,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,3
Ghost,Ella Henderson,0.68,0.84,9,-3.823,1,0.0415,0.0457,8.38e-06,0.143,0.468,104.985,5
Please Don't Go,Joel Adams,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,1
Next To Me,Emeli Sandé,0.674,0.81,7,-5.117,0,0.0378,0.0923,4.74e-05,0.11,0.391,94.995,1
Rehab,Amy Winehouse,0.434,0.872,0,-2.974,1,0.0702,0.0473,1.83e-06,0.396,0.732,71.515,7
Back To December,Taylor Swift,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,3
The A Team,Ed Sheeran,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996,2
September Song,JP Cooper,0.614,0.615,0,-6.7,0,0.0444,0.054,0.0,0.0921,0.374,95.941,1
When I Was Your Man,Bruno Mars,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,2
When I Was Your Man,Bruno Mars,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,2
When I Was Your Man,Bruno Mars,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,2
When I Was Your Man,Bruno Mars,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,2
Drops of Jupiter (Tell Me),Train,0.468,0.64,0,-5.862,1,0.0275,0.154,0.0,0.154,0.499,79.297,0
Rise Up,Andra Day,0.398,0.316,1,-7.031,1,0.0368,0.805,0.0,0.295,0.174,118.582,2
Somewhere Only We Know,Lily Allen,0.313,0.286,10,-10.593,1,0.0324,0.934,0.0451,0.0974,0.287,80.925,2
No Air,Jordin Sparks,0.466,0.759,8,-4.978,0,0.199,0.0521,0.0,0.0587,0.328,160.033,3
Brave,Sara Bareilles,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,3
Ever the Same,Rob Thomas,0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63e-05,0.11,0.524,188.017,3
Die A Happy Man,Thomas Rhett,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,2
Lay Me Down,Sam Smith,0.59,0.451,4,-8.194,1,0.0417,0.336,0.0,0.103,0.334,129.729,0
Bubbly,Colbie Caillat,0.697,0.474,9,-6.663,1,0.0351,0.603,0.0,0.11,0.249,127.904,2
I Won't Give Up,Jason Mraz,0.585,0.303,4,-10.058,1,0.0398,0.694,0.0,0.115,0.142,136.703,2
Life Of The Party,Shawn Mendes,0.662,0.612,10,-4.993,1,0.0311,0.0509,0.0,0.0948,0.177,113.95,0
Love Somebody,Maroon 5,0.675,0.792,1,-6.303,1,0.0368,0.145,0.0,0.12,0.395,120.016,5
Best Day Of My Life,American Authors,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,5
Paradise,Coldplay,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,3
Bright,Echosmith,0.646,0.431,6,-8.517,1,0.0262,0.637,6.99e-06,0.113,0.292,90.034,2
If I Ain't Got You,Alicia Keys,0.609,0.445,7,-9.129,1,0.106,0.603,6.77e-06,0.104,0.166,118.393,2
Stolen Dance,Milky Chance,0.886,0.578,11,-8.826,1,0.0381,0.418,0.000181,0.0761,0.69,114.015,5
Demons,Imagine Dragons,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,7
Somebody That I Used To Know,Gotye,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,5
Somebody That I Used To Know,Gotye,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,5
Somebody That I Used To Know,Gotye,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,5
Somebody That I Used To Know,Gotye,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,5
New Soul,Yael Naim,0.769,0.371,0,-8.522,1,0.0326,0.733,3.73e-05,0.106,0.653,100.001,2
100 Years,Five For Fighting,0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,120.507,0
All I Want,Kodaline,0.209,0.412,0,-9.733,1,0.0443,0.172,0.15,0.0843,0.162,86.26,0
Because of You,Kelly Clarkson,0.583,0.584,5,-5.362,0,0.0314,0.254,0.0,0.123,0.136,140.039,3
Skinny Love,Birdy,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,2
The Lazy Song,Bruno Mars,0.738,0.804,11,-3.851,1,0.0621,0.332,0.0,0.279,0.949,174.943,7
I Try,Macy Gray,0.559,0.637,2,-7.495,1,0.0321,0.304,0.000195,0.0783,0.782,152.885,5
If You're Gone,Matchbox Twenty,0.544,0.659,9,-7.191,1,0.0298,0.427,1.33e-06,0.126,0.361,109.933,0
The Reason,Hoobastank,0.472,0.671,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,0
Say Something,A Great Big World,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,2
Say Something,A Great Big World,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,2
Say Something,A Great Big World,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,2
Say Something,A Great Big World,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,2
Sweet Creature,Harry Styles,0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,2
Here Without You,3 Doors Down,0.544,0.55,10,-6.756,0,0.0248,0.0541,0.0,0.243,0.246,144.028,3
Jar of Hearts,Christina Perri,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541,2
Lost Boy,Ruth B.,0.71,0.0565,7,-15.099,1,0.0534,0.965,0.0,0.0889,0.348,123.994,2
Praying,Kesha,0.576,0.39,10,-7.202,1,0.0297,0.491,0.0,0.111,0.319,73.433,0
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,0
Story of My Life,One Direction,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,0
Love Someone,Jason Mraz,0.579,0.363,7,-14.185,1,0.0308,0.306,0.00692,0.111,0.0754,97.955,2
XO,John Mayer,0.431,0.377,2,-9.753,1,0.0288,0.749,0.0,0.211,0.353,173.67,2
Latch - Acoustic,Sam Smith,0.389,0.294,8,-5.429,1,0.0277,0.977,0.00393,0.107,0.243,88.636,2
One Headlight,The Wallflowers,0.701,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,5
Set Fire to the Rain,Adele,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,1
Set Fire to the Rain,Adele,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,1
Set Fire to the Rain,Adele,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,1
Set Fire to the Rain,Adele,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,1
Glory (From the Motion Picture Selma),Common,0.567,0.587,9,-5.626,0,0.0417,0.867,0.0,0.13,0.572,83.046,1
Mr. Jones,Counting Crows,0.578,0.817,0,-6.542,1,0.0363,0.183,3.06e-06,0.285,0.726,141.621,7
Use Somebody,Kings of Leon,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,3
Heaven,Los Lonely Boys,0.664,0.862,6,-5.403,1,0.0679,0.378,4.19e-06,0.0824,0.782,91.91,5
You're Beautiful,James Blunt,0.679,0.54,0,-7.457,0,0.026,0.603,1.7e-05,0.0905,0.449,81.971,0
This Love,Maroon 5,0.712,0.862,5,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051,1
Jealous,Labrinth,0.435,0.155,1,-8.948,1,0.046,0.873,0.0,0.107,0.0935,128.532,2
Wherever You Will Go,The Calling,0.558,0.719,2,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,0
Push,Matchbox Twenty,0.42,0.672,6,-7.902,1,0.027,0.0067,0.0,0.108,0.476,168.019,3
Jolene,Ray LaMontagne,0.588,0.142,7,-15.196,1,0.0329,0.863,0.000162,0.0953,0.288,119.656,2
Safe & Sound - from The Hunger Games Soundtrack,Taylor Swift,0.471,0.3,7,-10.807,1,0.028,0.883,1.05e-05,0.0698,0.289,144.319,2
Almost Lover,A Fine Frenzy,0.549,0.24,0,-7.778,1,0.0338,0.947,0.0,0.106,0.167,119.58,2
Superman (It's Not Easy),Five For Fighting,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,0
Up&Up,Coldplay,0.479,0.717,7,-5.459,1,0.0605,0.0488,0.000333,0.102,0.253,163.989,3
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,0.795,0.616,1,-5.281,0,0.06,0.417,0.0,0.349,0.815,110.015,1
I'll Be,Edwin McCain,0.371,0.609,11,-5.524,1,0.0295,0.386,0.0,0.104,0.426,136.526,3
Calling All Angels,Train,0.454,0.839,3,-5.368,1,0.0441,0.0746,0.0,0.279,0.529,166.166,3
Only Love,Ben Howard,0.545,0.485,8,-9.941,1,0.151,0.3,0.00137,0.119,0.341,80.401,0
Don't,Ed Sheeran,0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049,7
A New Day Has Come,Céline Dion,0.436,0.333,6,-9.869,1,0.0354,0.722,9.61e-06,0.187,0.0609,119.483,2
When We Were Young,Adele,0.381,0.594,3,-5.97,1,0.0486,0.348,0.0,0.0925,0.273,143.86,3
human,Christina Perri,0.439,0.489,8,-6.286,1,0.0368,0.132,0.000643,0.114,0.253,143.808,3
Drift Away,Uncle Kracker,0.583,0.66,11,-5.078,1,0.0377,0.181,0.0,0.0979,0.861,151.956,5
Fidelity,Regina Spektor,0.923,0.518,5,-6.008,1,0.0492,0.52,0.000142,0.104,0.682,93.023,5
I Choose You,Sara Bareilles,0.731,0.572,6,-7.889,0,0.0445,0.105,0.00012,0.133,0.947,154.038,1
Lego House,Ed Sheeran,0.592,0.637,11,-8.48,1,0.0992,0.562,0.0,0.13,0.565,159.701,3
Unconditionally,Katy Perry,0.555,0.729,7,-4.813,1,0.0387,0.00357,0.0,0.209,0.369,129.003,3
Keep Your Head Up,Andy Grammer,0.666,0.78,7,-5.177,1,0.0404,0.044,0.0,0.128,0.795,90.004,5
A Thousand Miles,Vanessa Carlton,0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,0
I'm Like A Bird,Nelly Furtado,0.622,0.608,10,-5.085,1,0.036,0.138,5.38e-06,0.273,0.607,89.661,0
Young And Beautiful,Lana Del Rey,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,3
Barcelona,George Ezra,0.629,0.572,5,-9.332,1,0.0307,0.32,0.000853,0.109,0.182,93.997,0
Drive,Oh Wonder,0.671,0.456,9,-8.313,1,0.0943,0.732,3.49e-06,0.0829,0.388,141.737,2
Girl on Fire,Alicia Keys,0.482,0.706,9,-5.762,1,0.0609,0.135,0.00106,0.105,0.144,92.494,0
Irreplaceable,Beyoncé,0.576,0.697,10,-4.192,1,0.326,0.0286,1.15e-06,0.167,0.501,175.906,6
Let It All Go,Birdy,0.383,0.43,10,-8.644,1,0.0302,0.817,1.04e-06,0.0869,0.174,107.005,2
Riptide,Vance Joy,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,0
Over My Head (Cable Car),The Fray,0.592,0.729,8,-4.156,1,0.0448,0.022,0.0,0.0653,0.709,116.03,5
Iris,The Goo Goo Dolls,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,3
Chocolate,The 1975,0.591,0.94,11,-4.341,1,0.0522,0.00391,0.0,0.383,0.676,100.043,7
It Will Rain,Bruno Mars,0.574,0.824,2,-6.885,1,0.0463,0.359,0.0,0.0816,0.434,149.981,3
One,Ed Sheeran,0.464,0.321,2,-11.12,1,0.0418,0.877,0.0,0.0789,0.306,93.528,2
Haven't Met You Yet,Michael Bublé,0.615,0.733,8,-4.808,1,0.0335,0.152,0.0,0.109,0.796,122.58,5
Can't Help Falling In Love,Kina Grannis,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,2
Not Over You,Gavin DeGraw,0.63,0.894,10,-4.592,1,0.0544,0.255,0.0,0.181,0.364,142.051,3
We Are Young (feat. Janelle Monáe),fun.,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,3
We Are Young (feat. Janelle Monáe),fun.,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,3
We Are Young (feat. Janelle Monáe),fun.,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,3
We Are Young (feat. Janelle Monáe),fun.,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,3
It's Time,Imagine Dragons,0.656,0.884,2,-4.748,1,0.0372,0.0162,0.0,0.145,0.86,105.009,5
Girls Chase Boys,Ingrid Michaelson,0.473,0.82,8,-5.702,1,0.0408,0.031,1.55e-05,0.0414,0.678,84.893,5
Banana Pancakes,Jack Johnson,0.816,0.375,7,-8.053,1,0.0996,0.607,8.66e-06,0.0933,0.615,114.303,2
Love Me Now,John Legend,0.488,0.762,8,-3.842,1,0.0865,0.591,0.0,0.0763,0.709,123.889,5
Make You Feel My Love,Adele,0.325,0.18,10,-10.647,1,0.0311,0.91,0.000633,0.113,0.0997,72.416,2
Always Be My Baby,Mariah Carey,0.65,0.531,4,-8.335,1,0.0364,0.457,0.0,0.249,0.487,78.946,0
Realize,Colbie Caillat,0.693,0.594,1,-6.408,1,0.0325,0.13,0.0,0.115,0.192,123.932,0
Stuck In A Moment You Can't Get Out Of,U2,0.526,0.665,4,-4.997,1,0.0243,0.407,0.000271,0.169,0.285,158.493,3
Big Yellow Taxi,Counting Crows,0.672,0.872,1,-4.324,1,0.0486,0.00241,0.0,0.16,0.848,88.047,5
Meet Virginia,Train,0.675,0.553,7,-7.775,1,0.0486,0.0863,7.58e-06,0.118,0.594,90.02,0
"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,1
"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,1
"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,1
"Happy - From ""Despicable Me 2""",Pharrell Williams,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,1
Her Diamonds,Rob Thomas,0.555,0.924,7,-4.93,1,0.0604,0.0159,0.0,0.075,0.865,87.606,5
Slide,The Goo Goo Dolls,0.395,0.843,8,-4.476,1,0.0374,0.00483,0.0,0.0404,0.481,112.423,3
Little Things,One Direction,0.707,0.222,7,-11.716,1,0.0329,0.788,0.0,0.205,0.556,110.095,2
1234,Feist,0.71,0.484,2,-7.415,1,0.049,0.217,3.93e-06,0.0879,0.576,109.951,0
Taking Chances,Céline Dion,0.266,0.536,2,-5.613,1,0.0357,0.0198,0.0,0.157,0.25,176.063,3
Good Life,OneRepublic,0.634,0.69,6,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988,5
Thunder,Imagine Dragons,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,3
The Cave,Mumford & Sons,0.595,0.506,4,-9.682,1,0.0388,0.0464,0.000138,0.107,0.346,141.981,3
You Found Me,The Fray,0.338,0.803,8,-5.412,0,0.0413,0.0187,0.0,0.136,0.4,151.994,3
3AM,Matchbox Twenty,0.521,0.673,8,-8.685,1,0.0284,0.00573,0.0,0.12,0.543,108.031,0
Name,The Goo Goo Dolls,0.464,0.701,9,-5.943,1,0.0341,0.0691,0.00182,0.0766,0.407,73.97,0
Collide,Howie Day,0.636,0.625,11,-7.895,1,0.0277,0.222,5.35e-05,0.119,0.342,93.931,0
Home,Michael Bublé,0.608,0.37,7,-9.207,1,0.0306,0.844,1.87e-05,0.112,0.349,127.631,2
Too Much To Ask,Niall Horan,0.443,0.533,0,-6.548,1,0.0396,0.371,0.0,0.128,0.201,77.344,0
Beautiful Day,U2,0.539,0.926,2,-6.495,1,0.0499,0.014,0.00136,0.36,0.454,136.279,7
Complicated,Avril Lavigne,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,0
Home,Daughtry,0.443,0.853,6,-3.885,1,0.0361,0.00217,1.77e-06,0.198,0.338,143.986,3
Mine,Taylor Swift,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,5
